Player;Nation;Pos;Age;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;G+A-PK;clubs;GoalsPer90;xGPer90;xAPer90;xGContribution;FairPlayScore;Nb_IndividualTitles;IndividualTitlesDetail;TeamTitles_Team;TeamTitlesDetail;ImpactScore;RecordsScore;PopularityScore;Finalist_UCL;BookmakersScore
Gerard Martín;es ESP;DF;23;0.0;11;1028.0;11.4;1.0;3.0;4.0;1.0;0.0;0.0;2.0;0.0;0.5;0.5;1.1;1.6;10.0;40.0;122.0;0.35;Barcelona;0.0875486381322957;0.0437743190661478;0.0963035019455253;0.1400778210116731;8.0;0;Aucun;;;;;;;
Ronald Araújo;uy URU;DF;26;0.0;10;691.0;7.7;1.0;1.0;2.0;1.0;0.0;0.0;3.0;0.0;1.0;1.0;0.4;1.4;6.0;47.0;3.0;0.26;Barcelona;0.130246020260492;0.130246020260492;0.0520984081041968;0.1823444283646888;7.0;0;Aucun;;;;;;;
Frenkie de Jong;nl NED;MF;28;0.0;9;1133.0;12.6;2.0;2.0;4.0;2.0;0.0;0.0;3.0;0.0;0.7;0.7;2.0;2.6;36.0;119.0;23.0;0.32;Barcelona;0.1588702559576346;0.0556045895851721;0.1588702559576346;0.2144748455428067;7.0;0;Aucun;;;;;;;
Marc-André ter Stegen;de GER;GK;33;0.0;8;674.0;7.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;Barcelona;0.0;0.0;0.0;0.0;10.0;0;Aucun;;;;;;;
Héctor Fort;es ESP;DF;18;0.0;5;585.0;6.5;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.2;0.2;0.9;1.1;14.0;26.0;33.0;0.0;Barcelona;0.0;0.0307692307692307;0.1384615384615384;0.1692307692307692;8.0;0;Aucun;;;;;;;
Pablo Torre;es ESP;MF,FW;22;0.0;4;310.0;3.4;3.0;1.0;4.0;3.0;0.0;0.0;0.0;0.0;0.4;0.4;0.8;1.1;5.0;17.0;20.0;1.16;Barcelona;0.8709677419354839;0.1161290322580645;0.232258064516129;0.3483870967741936;10.0;0;Aucun;;;;;;;
Marc Bernal;es ESP;MF;17;0.0;3;242.0;2.7;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.1;0.1;0.0;0.1;0.0;8.0;2.0;0.0;Barcelona;0.0;0.0371900826446281;0.0;0.0371900826446281;8.0;0;Aucun;;;;;;;
Ansu Fati;es ESP;FW;22;0.0;3;233.0;2.6;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.2;1.1;7.0;6.0;32.0;0.0;Barcelona;0.0;0.3862660944206008;0.0772532188841201;0.463519313304721;9.0;0;Aucun;;;;;;;
Pau Victor Delgado;es ESP;FW;23;0.0;2;317.0;3.5;2.0;1.0;3.0;2.0;0.0;0.0;2.0;0.0;3.0;3.0;0.9;3.9;6.0;11.0;28.0;0.85;Barcelona;0.5678233438485805;0.8517350157728707;0.2555205047318612;1.107255520504732;8.0;0;Aucun;;;;;;;
Andreas Christensen;dk DEN;DF;29;0.0;2;227.0;2.5;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;14.0;1.0;0.0;Barcelona;0.0;0.0;0.0;0.0;7.0;0;Aucun;;;;;;;
